filename,IFOREST,LOF,MP,NORMA,IFOREST1,HBOS,OCSVM,PCA,AE_old,CNN,LSTM,POLY,dataset,period_length,ratio,nb_anomaly,average_anom_length,median_anom_length,std_anom_length,data_len,point_anom,seq_anom,mixed_anom,type_an,min_val_norm,max_val_norm,AE_unc,LSTMAE,LSTMAE_unc,AE
YahooA4Benchmark-TS11_data.out,0.0,0.0,0.8,1.0,0.0,0.0,0.0,0.0,0.4,1.0,0.4,0.6,YAHOO,24.0,0.00297619,5,1.0,1.0,0.0,1680,1,0,0,point,-294.426057653765,5086.09891663095,0.6,0.6,0.0,0.6
YahooA4Benchmark-TS12_data.out,0.0,0.0,0.6,0.8,0.0,0.0,0.0,0.0,0.0,1.0,0.4,0.2,YAHOO,24.0,0.00297619,5,1.0,1.0,0.0,1680,1,0,0,point,-2729.80128336315,1657.5157871063095,0.2,0.2,0.2,0.2
YahooA4Benchmark-TS13_data.out,0.071428571,0.285714286,0.285714286,0.285714286,0.285714286,0.071428571,0.0,0.071428571,0.071428571,0.928571429,0.285714286,0.071428571,YAHOO,24.0,0.008333333,14,1.0,1.0,0.0,1680,1,0,0,point,-1153.18562851418,3993.38134774465,0.5714285714285714,0.6428571428571429,0.1428571428571428,0.6428571428571429
YahooA4Benchmark-TS14_data.out,0.0,0.0,0.272727273,0.454545455,0.545454545,0.363636364,0.0,0.181818182,0.090909091,1.0,0.636363636,0.090909091,YAHOO,24.0,0.006547619,11,1.0,1.0,0.0,1680,1,0,0,point,-1500.10950598982,2010.4126642785,0.3636363636363636,0.6363636363636364,0.0909090909090909,0.6363636363636364
YahooA4Benchmark-TS15_data.out,0.0,0.222222222,0.111111111,0.444444444,0.555555556,0.0,0.0,0.333333333,0.0,1.0,0.111111111,0.222222222,YAHOO,24.0,0.005357143,9,1.0,1.0,0.0,1680,1,0,0,point,-475.228094961262,471.027542569451,0.6666666666666666,0.5555555555555556,0.1111111111111111,0.5555555555555556
YahooA4Benchmark-TS16_data.out,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,YAHOO,24.0,0.000595238,1,1.0,1.0,0.0,1680,1,0,0,point,-983.034391486434,1570.41354298152,0.0,0.0,0.0,0.0
YahooA4Benchmark-TS17_data.out,0.1,0.4,0.4,0.7,0.5,0.2,0.0,0.4,0.1,0.9,0.9,0.4,YAHOO,24.0,0.005952381,10,1.0,1.0,0.0,1680,1,0,0,point,-904.280665151018,1632.52242096554,0.2,0.5,0.0,0.5
YahooA4Benchmark-TS18_data.out,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,YAHOO,24.0,0.000595238,1,1.0,1.0,0.0,1680,1,0,0,point,-2512.5878557802,1184.3321523334598,0.0,1.0,0.0,1.0
YahooA4Benchmark-TS19_data.out,0.0,0.083333333,0.25,0.5,0.333333333,0.25,0.0,0.083333333,0.25,1.0,1.0,0.166666667,YAHOO,24.0,0.007142857,12,1.0,1.0,0.0,1680,1,0,0,point,-1167.72474981187,5648.10939013323,0.25,0.3333333333333333,0.0,0.3333333333333333
YahooA4Benchmark-TS1_data.out,0.0,0.307692308,0.076923077,0.230769231,0.230769231,0.307692308,0.0,0.0,0.076923077,0.769230769,0.076923077,0.153846154,YAHOO,12.0,0.007738095,13,1.0,1.0,0.0,1680,1,0,0,point,-56.1939623171587,2649.83785307391,0.5384615384615384,0.6153846153846154,0.0,0.6153846153846154
